,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
115,LIT,1.4921875,3.5999999046325684,9476.000000000002,4338.215000000001,0.8704861998558044,0.3057362735271454,5312.0,2.0658114705456554,0.39528172556331953,28.9,17.0,18.6,1.0
116,LOS,2.4765625,6.7438859939575195,9938.170000000002,6662.306000000001,1.3147077560424805,0.6947355270385742,2800.0,1.720250885638473,0.3065556036940238,25.6,21.9,20.5,1.0
117,LOV,3.6015625,4.967896938323975,6479.050000000001,4005.466000000001,1.1143187284469604,0.5662888884544373,264.0,1.2738482960725588,0.10164305173173367,13.4,13.4,40.3,1.0
118,LTA,4.1640625,10.886689186096191,8048.060000000001,7850.121000000002,2.095621347427368,1.426371693611145,1058.0,1.4277066001471534,0.19310399923487837,22.9,22.9,22.7,1.0
119,LTF,7.3984375,8.114185333251953,40997.80000000001,29694.233000000007,1.3223658800125122,0.7381392121315002,110825.0,3.420776229234397,1.0314277521782629,62.7,52.9,15.3,1.0
120,LTJ,3.0390625,5.0,6154.040000000001,3920.557000000001,1.1690411567687988,0.46942898631095886,918.0,1.8312040767641922,0.14317829233776858,18.7,18.7,20.2,1.0
121,LTL,7.3984375,9.971960067749023,13350.930000000002,8342.042000000001,1.1505250930786133,0.782209575176239,6004.0,2.7393471870604755,0.7182874368527071,36.6,30.2,13.7,1.0
122,LTN,1.9140625,10.015987396240234,298184.57000000007,210413.86600000004,1.361923098564148,0.8572460412979126,169545.0,1.4893431623374278,0.13127810330452966,71.5,71.5,71.3,1.0
123,MAR,2.3359375,6.603029727935791,30119.160000000007,18105.363000000005,1.1469115018844604,0.633206307888031,4012.0,1.2791481420410165,0.08053586239726243,25.1,21.6,60.7,1.0
124,MAZ,7.2578125,7.919596195220947,14053.340000000002,9774.452000000003,1.242003083229065,0.7421110272407532,7777.0,2.565275603505715,0.6261566279916843,36.6,30.2,15.2,1.0
125,MEI,6.8359375,7.949842929840088,14701.360000000002,11658.702000000003,1.2895408868789673,0.812103271484375,289.0,1.5401796641121028,0.2009602187524489,26.6,22.6,31.2,1.0
126,MEL,5.0078125,7.602631568908691,36565.98000000001,22820.564000000006,1.1881064176559448,0.6971520185470581,8265.0,2.0008461105226556,0.4584766729926582,39.4,39.4,26.9,1.0
127,MEP,1.7734375,5.803447246551514,16703.970000000005,9708.075000000003,1.29487144947052,0.5837277173995972,5546.0,1.6275192133349088,0.2015630238095455,26.4,26.4,26.2,1.0
128,MER,4.1640625,6.511528015136719,11727.990000000002,7244.281000000002,1.1866724491119385,0.6806161403656006,3588.0,1.8650293871637456,0.35650921411506675,26.8,26.8,18.5,1.0
129,MFI,4.4453125,6.6873016357421875,37944.86000000001,23061.501000000004,1.0539157390594482,0.6393744945526123,44400.0,2.163897004893268,0.4571214802534852,40.5,39.8,26.4,1.0
130,MFS,1.4921875,6.7082037925720215,13363.110000000002,8037.575000000002,1.1187658309936523,0.6311546564102173,216.0,1.5562930483790103,0.11503936386952565,14.1,27.8,37.7,1.0
131,MON,3.4609375,4.967896938323975,6158.460000000001,3488.263000000001,1.0199110507965088,0.5089919567108154,1148.0,1.515672252422289,0.09288488815297859,13.3,14.4,34.2,1.0
132,MOR,6.2734375,6.977105617523193,18198.740000000005,12127.357000000004,1.2418842315673828,0.6880766153335571,25420.0,2.7626953086456654,0.7718753772938067,35.3,39.9,15.2,1.0
133,MOZ,7.3984375,9.971960067749023,38751.310000000005,25226.865000000005,1.2248952388763428,0.7331663966178894,122148.0,3.725617988283281,1.207143299805528,62.8,52.9,13.7,1.0
134,MRE,1.7734375,6.352952003479004,17254.190000000002,9041.004000000003,1.0683120489120483,0.6366061568260193,1596.0,1.513555459037453,0.11120028927203884,15.3,29.3,40.5,1.0
135,MSE,6.4140625,7.102112770080566,43172.09000000001,29975.590000000007,1.2075018882751465,0.7420399188995361,92160.0,1.638213315805267,0.18536911634164402,36.3,36.3,39.7,1.0
136,MSO,1.9140625,9.89747428894043,36628.14000000001,22762.127000000004,1.1433826684951782,0.7618647217750549,3038.0,1.6177773817706815,0.21081513747127878,34.7,30.1,39.3,1.0
137,MTF,4.0234375,6.330876350402832,16791.640000000003,8105.425000000002,0.9556478261947632,0.6238172054290771,5256.0,3.2237360947583684,1.292871346849301,19.6,59.6,14.3,1.0
138,MTN,2.4765625,7.345747470855713,52514.84000000001,34556.55500000001,1.4467359781265259,0.6853318214416504,45276.0,1.5434583832160431,0.1582100937386389,39.6,39.6,39.4,1.0
139,MTT,1.4921875,7.01141881942749,9011.140000000001,4866.315000000001,1.0071910619735718,0.5505995154380798,20178.0,1.895490469506567,0.20590531327286474,9.5,43.1,22.8,1.0
140,MTW,2.3359375,6.029925346374512,10555.090000000002,5768.893000000001,1.0114762783050537,0.643195629119873,2964.0,2.0330128296501124,0.6201990084986275,51.3,9.5,22.7,1.0
141,MVY,1.4921875,3.693236827850342,4483.260000000001,1829.0750000000005,0.768424928188324,0.3893669545650482,330.0,1.515649196427837,0.10308079841688265,9.8,15.7,26.8,1.0
142,MWF,4.0234375,10.386529922485352,536643.18,403993.7990000001,1.339978575706482,0.6954234838485718,484295.0,1.4300036369631162,0.13621426101182296,88.3,88.3,88.1,1.0
143,MWW,2.4765625,9.649869918823242,29136.820000000007,19716.027000000006,1.2363901138305664,0.8045488595962524,8910.0,1.3724362775114796,0.11183789735458267,29.1,24.0,48.9,1.0
144,NAB,3.4609375,5.0,3787.080000000001,2331.4930000000004,1.0564757585525513,0.523249626159668,168.0,1.4602609381240788,0.208373641695324,13.4,13.4,23.3,1.0
145,NAT,4.1640625,5.299056529998779,7428.420000000002,5414.584000000002,1.2593053579330444,0.6131613254547119,20574.0,2.680159456558022,0.6168773225647859,26.7,26.4,13.0,1.0
146,NES,2.1953125,6.936858177185059,50903.07000000001,34903.19000000001,1.2729557752609253,0.7321294546127319,30345.0,1.707372819053162,0.21030368619875078,51.2,26.8,44.6,1.0
147,NON,2.1953125,6.5176682472229,32024.820000000007,19782.110000000004,1.2562304735183716,0.572311520576477,18724.0,1.9843032698601848,0.44025157918628355,44.8,30.4,26.7,1.0
148,NPO,3.6015625,4.180909156799316,2077.6300000000006,1038.3810000000003,0.9466354250907898,0.45891934633255005,714.0,2.3590351174424264,0.7199809609911252,15.9,14.0,9.4,1.0
149,NPT,3.6015625,10.139033317565918,14175.030000000002,11321.988000000003,1.412103533744812,0.8462831974029541,8034.0,1.519849502921432,0.14949851101165987,26.5,26.5,26.3,1.0
150,NSI,2.3359375,4.029888153076172,4300.330000000001,2261.6700000000005,0.9721051454544067,0.4559917747974396,264.0,1.9547248211795145,0.4186296376739639,28.4,9.5,16.4,1.0
151,OBW,3.6015625,9.239047050476074,30689.890000000007,28703.811000000005,1.6739245653152466,1.0371925830841064,15288.0,1.3078256444429857,0.0905743966457692,26.9,26.9,60.5,1.0
152,OFF,6.5546875,6.945502281188965,6430.5700000000015,4437.781000000001,1.2579058408737183,0.8022255301475525,6042.0,2.164966800513231,0.5196075136798771,25.0,22.6,13.7,1.0
153,OKO,5.8515625,6.660330295562744,26132.240000000005,17093.946000000004,1.1599618196487427,0.7558353543281555,54810.0,2.0512017770011095,0.3937348086240168,48.5,26.7,23.5,1.0
154,OSI,6.1328125,6.633249759674072,10830.510000000002,6615.722000000002,1.1956467628479004,0.5941980481147766,15696.0,3.638503330098556,1.2309442298295439,36.0,36.0,9.4,1.0
155,OSO,5.7109375,6.072890281677246,3982.0500000000006,3409.547000000001,1.4429923295974731,0.7521550059318542,3233.0,2.0794638173306743,0.40420910914622915,20.6,16.9,15.1,1.0
156,OWE,1.7734375,6.805880069732666,6085.480000000001,3202.0930000000008,0.9571571946144104,0.5966022610664368,6138.0,1.9436943408207372,0.43446322199253706,28.8,13.1,16.7,1.0
157,PAR,3.4609375,5.145872116088867,14800.190000000002,6666.640000000001,0.8079309463500977,0.4570004940032959,52341.0,2.4702740860892702,0.644131373686549,42.4,17.7,18.3,1.0
158,PAU,4.0234375,10.311159133911133,250369.80000000005,189013.36300000004,1.3769826889038086,0.7490132451057434,154795.0,1.4263596761841095,0.13287544118019937,68.5,68.5,68.3,1.0
159,PCR,4.0234375,6.2161078453063965,23111.460000000003,13050.940000000002,1.0606741905212402,0.5320342183113098,33462.0,2.117790953610127,0.38629545539340565,40.6,27.2,22.5,1.0
160,PHI,3.1796875,5.403702735900879,12440.340000000002,7829.280000000002,1.110662817955017,0.6117982268333435,851.0,1.502872662099833,0.20267807072202346,18.6,27.0,28.0,1.0
161,PON,2.0546875,5.083306312561035,10019.770000000002,5613.033000000001,0.9877203702926636,0.4796176254749298,759.0,1.5983862751461186,0.13684962554804542,18.1,18.4,31.6,1.0
162,POS,6.4140625,7.2801103591918945,24839.810000000005,19089.083000000006,1.3072824478149414,0.8291118144989014,34500.0,2.310679528826853,0.5427184854522893,37.8,37.8,22.2,1.0
163,PSI,1.7734375,6.082762718200684,52473.47000000001,24603.461000000007,0.9198895692825317,0.49983686208724976,6693.0,1.386868120466604,0.07918469435205346,15.3,45.2,75.7,1.0
164,PUN,3.3203125,5.535340785980225,15071.580000000004,11836.253000000002,1.271335244178772,0.6845070123672485,1932.0,1.6766845519503477,0.1177856521332075,29.6,17.5,37.1,1.0
165,RHO,4.0234375,10.386529922485352,17819.680000000004,14148.564000000004,1.6763122081756592,1.1859668493270874,3888.0,1.4016423494100854,0.13655792497793812,28.6,28.6,28.4,1.0
166,RRO,3.0390625,4.833218574523926,7628.590000000001,4004.173000000001,0.9274784326553345,0.4779207110404968,294.0,1.6338235467473579,0.1461336936532109,15.2,16.1,31.5,1.0
167,RSN,3.6015625,4.967896938323975,13639.330000000002,9286.189000000002,1.1051546335220337,0.5395627021789551,34086.0,3.7226312488326023,1.634034647431317,14.7,82.4,13.2,1.0
168,RTE,4.0234375,7.133021354675293,8824.530000000002,6103.694000000001,1.2546989917755127,0.7544965147972107,6696.0,2.353013421342157,0.5437653516059154,28.4,26.2,14.3,1.0
169,RTH,2.6171875,8.141252517700195,12951.180000000002,9200.315000000002,1.3705264329910278,0.8476092219352722,5040.0,2.009327665995538,0.49585070677814086,19.8,39.8,19.8,1.0
170,RUT,2.3359375,6.7941155433654785,13995.990000000003,8343.120000000003,1.1422195434570312,0.6278180480003357,3332.0,1.694987503570827,0.2980681955613021,26.8,25.4,22.7,1.0
171,RWR,1.6328125,4.599999904632568,12077.060000000003,6089.937000000002,0.9790410399436951,0.487457811832428,2020.0,1.3652791383590428,0.04519085126372667,14.6,15.7,53.3,1.0
172,RWY,6.1328125,14.294054985046387,20519.720000000005,34326.20000000001,2.383692502975464,1.647324800491333,5828.0,1.5682924651240828,0.14141174329826078,35.4,35.4,35.2,1.0
173,SAF,6.2734375,6.648307800292969,21909.150000000005,11627.530000000002,1.039721965789795,0.6156817674636841,12150.0,2.9689273777272045,0.9409721401975875,28.5,53.9,15.2,1.0
174,SAO,6.6953125,8.546343803405762,21430.930000000004,17724.259000000005,1.324981927871704,1.018813967704773,2173.0,1.391361027466642,0.15890793221891783,25.7,25.7,43.3,1.0
175,SAS,4.1640625,8.988882064819336,11775.420000000002,8839.649000000001,1.475716471672058,0.9719247221946716,4635.0,1.7531758418111303,0.308360624010159,27.5,27.5,19.6,1.0
176,SAT,3.1796875,7.0,30067.080000000005,20808.127000000004,1.2421525716781616,0.7551904916763306,2701.0,1.2794029720547104,0.10335860014252307,26.1,22.6,60.2,1.0
177,SAV,4.1640625,9.662298202514648,18540.440000000002,17061.564000000006,1.7641035318374634,1.0291799306869507,15857.0,1.9749701928154073,0.43879260572859885,37.4,37.4,19.0,1.0
178,SBE,4.0234375,12.485191345214844,49203.88000000001,43030.01900000001,1.5511590242385864,1.2818503379821777,2622.0,1.3729258083819895,0.13767134288123478,35.9,35.9,52.9,1.0
179,SBN,2.7578125,5.560575485229492,4083.150000000001,2748.9010000000007,1.1141608953475952,0.5748535394668579,1350.0,1.392048267868241,0.1577804157580652,14.7,12.2,26.2,1.0
180,SBS,5.7109375,11.403508186340332,41770.96000000001,37194.32800000001,1.446681022644043,1.1971970796585083,7384.0,1.3777776519443048,0.1256594176524902,34.7,30.1,54.8,1.0
181,SBT,5.7109375,11.072488784790039,61613.960000000014,55951.57900000001,1.4612623453140259,1.1872471570968628,7344.0,1.2709748597365702,0.08085180622450587,34.7,30.1,82.2,1.0
182,SEW,1.6328125,6.660330295562744,25922.500000000004,18198.159000000003,1.1111387014389038,0.7328052520751953,7189.0,1.8141384637101061,0.37787196172321535,47.8,22.9,28.8,1.0
183,SFE,2.3359375,6.7230939865112305,6316.720000000001,3957.996000000001,1.0209357738494873,0.7041102051734924,928.0,1.529099350403313,0.1456474291614043,23.1,10.9,27.5,1.0
184,SFF,5.2890625,7.962411403656006,11937.610000000002,8075.198000000002,1.2997390031814575,0.8874552845954895,11868.0,3.0811914788230452,1.0208387882046597,23.0,43.3,14.4,1.0
185,SFG,5.2890625,7.08801794052124,27323.690000000006,17998.028000000006,1.194642424583435,0.6700831651687622,45649.0,2.0086247727574538,0.39256141652480125,50.9,24.2,26.2,1.0
186,SFH,2.1953125,8.062257766723633,24052.830000000005,15736.863000000003,1.1559689044952393,0.7915582060813904,1932.0,1.6788620843360922,0.33126761440307856,9.5,68.0,42.9,1.0
187,SFN,2.3359375,8.019975662231445,12407.580000000002,7861.690000000001,1.1629226207733154,0.7658881545066833,1953.0,1.8150390687142548,0.42281085622644116,50.6,9.5,29.1,1.0
188,SFO,6.9765625,7.927168369293213,12330.350000000002,9874.234000000002,1.373535394668579,0.8395903706550598,4745.0,2.912987812800434,0.954043816596719,45.0,26.0,13.8,1.0
189,SFS,4.8671875,8.062257766723633,22651.080000000005,16002.934000000003,1.233523964881897,0.7685161232948303,12717.0,2.1088043940587764,0.41229735162775144,28.2,40.4,24.1,1.0
190,SFV,4.5859375,7.496665954589844,300468.97000000003,181293.55000000005,1.1138017177581787,0.6796392798423767,5427.0,1.159329968293464,0.05355432916796034,39.2,39.2,219.6,1.0
191,SFW,3.4609375,7.800000190734863,45860.06000000001,35450.75600000001,1.2702198028564453,0.8154787421226501,1363.0,1.2378251737299109,0.07786148212502174,27.7,24.0,86.9,1.0
192,SGT,2.1953125,7.927168369293213,25081.020000000004,15506.254000000004,1.248752474784851,0.7532667517662048,875.0,1.2981766127814924,0.04260407227215428,19.7,20.8,68.6,1.0
193,SIV,3.4609375,5.253570079803467,25196.430000000004,16342.598000000004,1.110390543937683,0.6452144980430603,6985.0,1.377421296129238,0.06373018712406966,18.6,28.4,54.9,1.0
194,SOD,2.3359375,6.082762718200684,4170.840000000001,2796.0000000000005,1.4643105268478394,0.7005220651626587,945.0,1.4255937788014927,0.16011556607808128,17.0,17.0,16.8,1.0
195,SOF,4.3046875,5.730619430541992,16093.690000000002,11519.810000000003,1.1847865581512451,0.6679057478904724,9990.0,2.4451971836541344,0.6645167839583228,40.9,24.5,19.6,1.0
196,SOS,2.7578125,5.656854152679443,9810.540000000003,6201.338000000002,1.041569709777832,0.5404964685440063,2378.0,2.269293637920067,0.37866975326785235,39.7,14.3,19.4,1.0
197,SSF,2.6171875,7.602631568908691,19810.080000000005,14367.436000000003,1.3090059757232666,0.8706260919570923,3021.0,1.8857032115734604,0.3575849692867185,34.8,28.8,24.4,1.0
198,SSO,1.4921875,6.7941155433654785,33453.130000000005,22047.034000000007,1.1589661836624146,0.6787324547767639,1551.0,1.6695586631124504,0.16144905607092946,40.1,20.4,47.5,1.0
199,SSY,1.4921875,7.2801103591918945,12154.690000000002,7884.439000000002,1.0627119541168213,0.769265353679657,9409.0,2.0563608668609232,0.48889827734955893,10.9,45.3,27.8,1.0
200,STF,5.2890625,7.738217353820801,12196.460000000003,8256.334000000003,1.2952669858932495,0.7812301516532898,45704.0,2.627197389849213,0.6391933604741367,28.2,35.4,14.5,1.0
201,STI,1.6328125,6.206448554992676,25956.690000000006,17167.389000000003,1.2116851806640625,0.7358238101005554,39672.0,1.6653266733548375,0.22380597738050736,25.8,34.6,34.4,1.0
202,STO,1.9140625,7.124605655670166,41608.880000000005,22928.417000000005,1.0417749881744385,0.6524457931518555,4270.0,1.5925418066753725,0.20084840091517447,60.0,15.6,47.7,1.0
203,STT,4.0234375,7.453858375549316,25432.190000000006,17947.181000000004,1.255354642868042,0.7942800521850586,9020.0,1.954538562640553,0.3505945842707451,26.4,44.0,26.6,1.0
204,STW,4.7265625,6.770524501800537,24528.850000000006,17430.349000000006,1.1908690929412842,0.6708468794822693,1638.0,1.3826019690302094,0.05025043466656965,24.1,20.6,60.0,1.0
205,SVR,4.4453125,6.599999904632568,38383.43000000001,23877.862000000005,1.1392483711242676,0.649986982345581,20636.0,1.8064481226231752,0.20840610288254635,41.1,26.9,39.2,1.0
206,SVV,1.7734375,6.7941155433654785,21877.020000000004,13056.054000000004,1.134186863899231,0.6475765705108643,5885.0,1.4326524289351308,0.15655918212761338,26.6,25.6,35.5,1.0
207,SZR,4.5859375,6.276942253112793,12162.790000000003,7717.857000000002,1.1251225471496582,0.6107515692710876,3570.0,2.605655467406408,0.730337694944903,36.5,27.8,13.9,1.0
208,TER,4.5859375,6.910861015319824,30755.930000000008,20253.783000000003,1.230024814605713,0.6674212217330933,7462.0,1.6324184461105744,0.2916347564418192,18.6,47.4,40.6,1.0
209,THO,3.7421875,5.720139503479004,3633.040000000001,2651.9360000000006,1.3390934467315674,0.684527575969696,7007.0,2.3089815378721426,0.4692231536427093,26.7,13.0,12.8,1.0
210,TOL,2.0546875,6.578753471374512,30262.250000000007,18282.476000000006,1.1512622833251953,0.6466943621635437,1824.0,1.26857237068727,0.08797846797911318,24.9,21.6,61.5,1.0
211,TON,5.0078125,5.699122428894043,8066.520000000001,4743.631000000001,1.2283039093017578,0.5610417723655701,5548.0,3.940538180585235,1.4289872497920713,27.2,35.2,9.3,1.0
212,TSC,4.1640625,16.34013557434082,151118.82000000004,141433.96300000005,1.802629828453064,1.4047785997390747,86450.0,1.473728313991478,0.13548246304862896,60.3,60.3,60.1,1.0
213,TUN,4.8671875,8.354639053344727,74715.03000000001,47013.24900000001,1.1360011100769043,0.7331158518791199,170502.0,1.8516473325666667,0.2760411318938197,56.0,38.9,39.3,1.0
214,UEI,3.0390625,5.458937644958496,18601.630000000005,10521.730000000003,0.9800176024436951,0.5682652592658997,2613.0,1.679300939530967,0.3163343970352457,37.7,17.5,30.3,1.0
215,UFI,1.7734375,10.049875259399414,24432.630000000005,17969.385000000006,1.4372175931930542,1.011163353919983,450.0,1.2470535334055532,0.06968161442342641,23.3,23.3,55.8,1.0
216,UOS,3.0390625,5.868560314178467,9017.79,5150.430000000001,1.0352798700332642,0.6214622855186462,27233.0,1.8803112397648825,0.46328479480470797,39.7,13.9,17.7,1.0
217,UOV,4.8671875,8.774964332580566,63156.19000000001,46697.20000000001,1.2608847618103027,0.8818622827529907,4582.0,1.3752946873987875,0.1355143837449817,24.5,42.8,76.4,1.0
218,UOZ,1.2109375,5.374011516571045,16724.020000000004,8360.599000000002,0.9050539135932922,0.5879141688346863,462.0,1.2094827066017713,0.08229790059850872,17.5,17.5,54.3,1.0
219,USI,6.1328125,7.048403739929199,14971.220000000003,10486.231000000002,1.2721283435821533,0.7983400821685791,7155.0,2.6064432335893564,0.6620078551218469,42.3,24.8,17.4,1.0
220,UTL,7.5390625,9.219544410705566,29136.110000000004,22699.541000000005,1.3116710186004639,0.9532207250595093,34986.0,2.31501283686735,0.6504426626771421,58.3,27.0,23.9,1.0
221,UWY,5.9921875,8.82496452331543,21463.300000000003,15074.141000000003,1.246730089187622,0.7732540369033813,22244.0,2.3227276259175964,0.6522807452490492,49.1,24.5,21.9,1.0
222,VET,5.9921875,6.292853355407715,6259.440000000001,3395.574000000001,1.0688406229019165,0.7176745533943176,18079.0,3.1804197044494678,0.8721475610203735,26.0,26.0,9.9,1.0
223,VFI,11.3359375,11.939848899841309,14359.410000000003,12601.145000000002,1.2599096298217773,1.0508058071136475,6278.0,2.445037246611906,0.6160593622037689,36.9,30.7,17.3,1.0
224,VNI,2.3359375,4.732863903045654,25041.960000000006,15673.229000000003,1.1194511651992798,0.4893767833709717,4092.0,1.4732508505859068,0.046656753968196546,20.3,20.3,68.1,1.0
225,VSV,2.7578125,4.80832576751709,13492.180000000002,7990.392000000002,1.0566562414169312,0.5016500353813171,976.0,1.3486590352944987,0.02920328441961479,13.3,13.3,82.9,1.0
226,WEI,3.3203125,4.199999809265137,7373.520000000001,4845.550000000001,1.1220858097076416,0.5278275012969971,2074.0,1.8104202915443808,0.3297117453293114,23.0,20.1,18.6,1.0
227,WEN,3.0390625,5.517245769500732,7176.720000000001,4746.640000000001,1.1354128122329712,0.6409488916397095,7216.0,2.3764797001524927,0.5548706048309552,27.5,22.3,13.7,1.0
228,YUG,3.0390625,4.83735466003418,6306.230000000001,3762.177000000001,1.0723447799682617,0.5080786347389221,2079.0,2.540894424794254,0.7135237432738288,20.7,26.3,12.6,1.0
229,ZON,1.4921875,5.720139503479004,12209.980000000003,7531.834000000002,1.174039363861084,0.6345246434211731,308.0,1.4576255016731656,0.16842297406329998,13.2,30.0,34.4,1.0
